Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.002,3.0,30578,6107,5913,1166,3624,1562,5951,11516,2786,0,2786,2128,398,1730,8930,271,2018,0,0,0,40572,62,3535,1166,89,0,89,1313,205,1108,4875,133,66,0,0,0,12085,12,812,982,3644,0,3644,366,153,213,2392,268,2436,0,2,0,11440,93,648,182,77,0,77,259,95,164,873,153,109,0,2,0,2235,93,1156,0,555,0,555,1903,1766,137,1197,185,1873,0,546,0,5471,1755,766,0,298,0,298,498,478,20,87,122,932,0,543,0,1378,1744,fiducial_pisnfarmer19
0.004,3.0,29407,3884,5879,898,3994,1910,7007,9389,2468,0,2468,2259,1186,1073,11022,60,776,0,0,0,38209,32,3231,211,10,0,10,431,159,272,3665,20,8,0,0,0,7737,14,2061,1377,1973,0,1973,383,270,113,3017,100,1414,0,0,0,11474,18,559,195,28,0,28,116,54,62,683,57,20,0,0,0,1776,18,1215,0,797,0,797,1978,1852,126,1133,75,1905,0,953,0,5730,2251,890,0,567,0,567,453,435,18,52,48,964,0,894,0,1647,2173,fiducial_pisnfarmer19
0.006,3.0,28178,752,4996,507,3703,1513,6314,9979,615,0,615,2240,1367,873,9055,26,161,0,0,0,38368,18,543,131,0,0,0,77,20,57,620,0,0,0,0,0,1482,18,2041,1379,1233,0,1233,296,259,37,2564,24,1020,0,0,0,9820,14,312,151,11,0,11,33,25,8,347,9,9,0,0,0,999,14,879,0,911,0,911,1911,1798,113,1153,75,1480,0,1069,0,5491,1912,452,0,602,0,602,459,443,16,77,34,484,0,952,0,1273,1753,fiducial_pisnfarmer19
0.008,3.0,26378,197,4520,308,3638,1518,6332,6045,1384,0,1384,2562,1851,711,10146,52,185,0,0,0,34064,32,63,80,0,0,0,54,33,21,115,0,2,0,0,0,362,32,1441,1124,1466,0,1466,411,378,33,2108,0,1224,0,0,0,8754,18,128,131,18,0,18,31,25,6,160,0,17,0,0,0,599,17,799,0,978,0,978,1856,1782,74,869,77,1701,0,1064,0,5272,1995,511,0,593,0,593,414,408,6,28,28,567,0,923,0,1246,1790,fiducial_pisnfarmer19
0.01,3.0,25132,358,4266,204,3507,1833,5662,6208,590,0,590,2164,1626,538,8311,23,165,0,0,0,37333,21,135,197,0,0,0,26,21,5,161,0,0,0,0,0,694,21,1477,849,1407,0,1407,344,313,31,2095,5,1148,0,0,0,8047,13,71,94,20,0,20,19,17,2,94,1,16,0,0,0,393,13,543,1,1212,0,1212,1716,1651,65,575,94,1462,0,1435,0,4552,2391,408,0,850,0,850,575,571,4,9,57,457,0,1367,0,1363,2303,fiducial_pisnfarmer19
0.014,3.0,20960,39,4075,90,3598,2147,3410,3714,228,0,228,1426,1201,225,5110,7,286,0,0,0,33375,14,16,1,0,0,0,22,15,7,36,0,2,0,0,0,63,14,642,207,2615,0,2615,347,338,9,1270,5,2359,0,0,0,7627,11,23,6,51,0,51,10,10,0,39,0,45,0,0,0,172,8,567,5,1234,0,1234,1745,1708,37,441,114,1424,0,1681,0,4237,2858,491,0,966,0,966,690,685,5,12,66,550,0,1585,0,1570,2724,fiducial_pisnfarmer19
0.017,3.0,20882,40,3700,86,3882,2511,2910,3810,18,0,18,1252,1099,153,4659,11,59,0,0,0,35466,47,12,9,0,0,0,17,13,4,28,0,1,0,0,0,65,13,1218,246,1747,0,1747,313,305,8,1660,4,1719,0,1,0,7117,46,35,5,31,0,31,14,13,1,47,0,33,0,1,0,159,13,588,0,1403,0,1403,1887,1861,26,393,141,1474,0,2011,0,4275,3480,539,0,1087,0,1087,885,881,4,6,73,606,0,1899,0,1729,3293,fiducial_pisnfarmer19
0.02,3.0,15876,7,3174,62,4114,2787,1444,3099,2,0,2,603,523,80,2661,17,11,0,0,0,27647,51,0,0,0,0,0,6,6,0,6,0,0,0,0,0,8,5,1194,235,1133,0,1133,191,188,3,1750,5,1126,0,0,0,6088,77,25,2,19,0,19,9,9,0,41,0,19,0,0,0,114,8,709,1,1463,0,1463,1935,1914,21,368,160,1483,0,2256,0,4281,3934,650,0,1147,0,1147,990,986,4,6,76,706,0,2075,0,1899,3675,fiducial_pisnfarmer19
0.03,3.0,7860,2,2612,68,4049,2938,245,2279,0,0,0,20,0,20,359,8,0,0,0,0,14482,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1485,61,32,0,32,129,129,0,2488,15,32,0,0,0,5120,28,43,2,0,0,0,9,9,0,64,1,2,0,0,0,125,11,546,0,1459,0,1459,2042,2022,20,286,201,1077,0,2684,0,3487,4607,488,0,1066,0,1066,1384,1382,2,13,89,553,0,2372,0,1664,4212,fiducial_pisnfarmer19
0.0001,5.0,30906,6996,7436,1485,18807,17713,1792,15193,1714,0,1714,2133,182,1951,5614,1855,76,4,0,0,17753,77,1587,3386,194,0,194,1821,95,1726,3547,737,62,0,0,0,12454,42,1386,2345,3501,0,3501,64,5,59,4397,1960,563,1,60,0,10427,670,773,387,257,0,257,62,5,57,499,467,539,0,60,0,1967,670,12298,0,5770,0,5770,730,621,109,355,8654,13216,46,5234,0,19535,18030,12076,0,5020,0,5020,615,601,14,15,8436,12466,46,5232,0,17361,18025,fiducial_pisnfarmer19
